symbol, name, currency, stockExchange, exchangeShortName
"AA","Alcoa Corporation","USD","New York Stock Exchange","NYSE",
"AAU","Almaden Minerals Ltd.","USD","American Stock Exchange","AMEX",
"AAT","American Assets Trust, Inc.","USD","New York Stock Exchange","NYSE",
"AAP","Advance Auto Parts, Inc.","USD","New York Stock Exchange","NYSE",
"AAN","The Aaron's Company, Inc.","USD","New York Stock Exchange","NYSE",
"AAM","American Axle & Manufacturing Hldngs Inc","null","null","null",
"AAL","American Airlines Group Inc.","USD","NASDAQ Global Select","NASDAQ",
"AAC","Ares Acquisition Corporation","USD","New York Stock Exchange","NYSE",
"AAA","AXS First Priority CLO Bond ETF","USD","New York Stock Exchange Arca","AMEX",
"AAXT","Aamaxan Transport Group, Inc.","USD","Other OTC","PNK",
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","USD","NASDAQ Global Market","NASDAQ",
"AAWW","Atlas Air Worldwide Holdings, Inc.","USD","NASDAQ Global Select","NASDAQ",
"AAWH","Ascend Wellness Holdings, Inc.","USD","Other OTC","PNK",
"AATV","Adaptive Ad Systems, Inc.","USD","Other OTC","PNK",
"AATP","Agape ATP Corporation","USD","Other OTC","OTC",
"AATC","Autoscope Technologies Corporation","USD","OTC Markets OTCQX","PNK",
"AASP","Global Acquisitions Corporation","USD","Other OTC","PNK",
"AAQC","Accelerate Acquisition Corp.","USD","New York Stock Exchange","NYSE",
"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","USD","Cboe US","ETF",
"AAPU","Direxion Daily AAPL Bull 1.5X Shares","USD","NASDAQ Global Market","NASDAQ",
"AAPT","All American Pet Company, Inc.","USD","Other OTC","PNK",
"AAPL","Apple Inc.","USD","NASDAQ Global Select","NASDAQ",
"AAPJ","AAP, Inc.","USD","Other OTC","PNK",
"AAPD","Direxion Daily AAPL Bear 1X Shares","USD","NASDAQ Global Market","NASDAQ",
"AAPB","GraniteShares ETF Trust - GraniteShares 2x Long Tilray Daily ETF","USD","NASDAQ Global Market","NASDAQ",
"AAON","AAON, Inc.","USD","NASDAQ Global Select","NASDAQ",
"AAOI","Applied Optoelectronics, Inc.","USD","NASDAQ Global Market","NASDAQ",
"AAMU","AA Mission Acquisition Corp","null","null","null",
"AAME","Atlantic American Corporation","USD","NASDAQ Global Market","NASDAQ",
"AAMC","Altisource Asset Management Corporation","USD","American Stock Exchange","AMEX",
"AAIN","Arlington Asset Investment Corp","USD","New York Stock Exchange","NYSE",
"AAIC","Arlington Asset Investment Corp.","USD","New York Stock Exchange","NYSE",
"AAGR","African Agriculture Holdings Inc.","USD","NASDAQ Global Market","NASDAQ",
"AAGH","America Great Health","USD","Other OTC","OTC",
"AAGC","All American Gold Corp.","USD","Other OTC","PNK",
"AADR","AdvisorShares Dorsey Wright ADR ETF","USD","NASDAQ Global Market","NASDAQ",
"AADI","Aadi Bioscience, Inc.","USD","NASDAQ Capital Market","NASDAQ",
"AACT","Ares Acquisition Corporation II","USD","New York Stock Exchange","NYSE",
"AACS","American Commerce Solutions, Inc.","USD","Other OTC","PNK",
"AACI","Armada Acquisition Corp. I","USD","NASDAQ Global Market","NASDAQ",
"AACG","ATA Creativity Global","USD","NASDAQ Global Market","NASDAQ",
"AABB","Asia Broadband, Inc.","USD","Other OTC","PNK",
"AAAU","Goldman Sachs Physical Gold ETF","USD","BATS","ETF",
"AAZ.V","Azincourt Energy Corp.","CAD","Toronto Stock Exchange Ventures","TSXV",
"AAZ.L","Anglo Asian Mining PLC","GBp","London Stock Exchange","LSE",
"AAYYY","Australian Agricultural Company Limited","USD","Other OTC","PNK",
"AAX.V","Advance Lithium Corp.","CAD","Toronto Stock Exchange Ventures","TSXV",
"AAVXF","ABIVAX Société Anonyme","USD","Other OTC","PNK",
"AAVVF","Advantage Energy Ltd.","USD","Other OTC","PNK",
"AAVMY","ABN AMRO Bank N.V.","USD","Other OTC","PNK",
"AAU.V","Angold Resources Ltd.","CAD","Toronto Stock Exchange Ventures","TSXV",
"AAU.L","Ariana Resources plc","GBp","London Stock Exchange","LSE",
"AAUKF","Anglo American plc","USD","Other OTC","PNK",
"AAUGF","Angold Resources Ltd.","USD","Other OTC","PNK",
"AAT.V","ATI Airtest Technologies Inc.","CAD","Toronto Stock Exchange Ventures","TSXV",
"AATRL","Amg Capital Trust II","USD","Other OTC","PNK",
"AATGF","ATI Airtest Technologies Inc.","USD","Other OTC","PNK",
"AASZF","Atlantic Sapphire ASA","USD","Other OTC","PNK",
"AAS.L","abrdn Asia Focus plc","GBp","London Stock Exchange","LSE",
"AASCX","Thrivent Mid Cap Stock Fund Class A","USD","NASDAQ","NASDAQ",
"AARTY","Airtel Africa Plc","USD","Other OTC","PNK",
"AARTX","Stone Ridge Trust VIII","USD","Nasdaq","NASDAQ",
"AAQCW","Accelerate Acquisition Corp.","USD","Other OTC","PNK",
"AAN.V","Aton Resources Inc.","CAD","TSXV","TSX",
"AANTX","American Funds 2060 Target Date Retirement Fund","USD","NASDAQ","NASDAQ",
"AANNF","Aroundtown SA","USD","Other OTC","PNK",
"AAMTF","Armada Mercantile Ltd.","USD","Other OTC","PNK",
"AAMMF","Almadex Minerals Ltd.","USD","Other OTC","PNK",
"AAMAF","Atlas Mara Limited","USD","Other OTC","PNK",
"AALTX","American Funds 2050 Trgt Date Retire A","USD","Nasdaq","NASDAQ",
"AAL.L","Anglo American plc","GBp","London Stock Exchange","LSE",
"AALBF","Aalberts N.V.","USD","Other OTC","PNK",
"AAISX","American Beacon International Equity Fund Advisor Class","USD","NASDAQ","NASDAQ",
"AAIRF","American Aires Inc.","USD","Other OTC","PNK",
"AAIPX","American Beacon International Equity Fund Investor Class","USD","NASDAQ","NASDAQ",
"AAIIQ","Alabama Aircraft Industries, Inc","USD","Other OTC","PNK",
"AAIGF","AIA Group Limited","USD","Other OTC","PNK",
"AAIEX","American Beacon International Equity Fund","USD","NASDAQ","NASDAQ",
"AAIDX","Axonic Alternative Income Fund","USD","Nasdaq","NASDAQ",
